Low,Mid,High,LowPercent,MidPercent,HighPercent,LowAverage,MidAverage,HighAverage,MaxWealth,MinWealth,Gini
74,124,52,0.296,0.496,0.208,13.685432,32.859753,52.21649,66.790436,1.4017749,34.07301120004559
72,130,48,0.288,0.52,0.192,18.435493,41.333866,64.93641,84.99529,0.09557629,32.51997827499964
87,133,30,0.348,0.532,0.12,26.252245,56.061214,81.51951,116.092186,0.9600644,32.48682180979814
108,129,13,0.432,0.516,0.052,35.525555,71.33084,94.53987,155.72879,2.053699,30.978605849057203
103,132,15,0.412,0.528,0.06,41.391796,79.21692,106.574776,174.9054,6.882675,29.399487569520723
83,143,24,0.332,0.572,0.096,42.101772,82.00419,117.47931,177.9054,4.94083,29.66541992506245
72,149,29,0.288,0.596,0.116,43.550247,86.57204,127.09231,183.85144,1.0081501,29.303940437683195
106,132,12,0.424,0.528,0.048,55.972614,105.45771,139.13469,231.85144,6.882675,28.850004472245928
97,138,15,0.388,0.552,0.06,58.678616,111.375084,149.92377,243.53117,10.383732,28.716960534948157
86,144,20,0.344,0.576,0.08,61.297073,116.10078,160.02248,246.53117,14.022846,27.98241776158102
82,146,22,0.328,0.584,0.088,63.859818,123.76434,170.82616,258.40466,18.865686,27.920174058759585
70,152,28,0.28,0.608,0.112,64.87855,126.781555,181.16396,264.88528,26.726692,27.49962773011066
73,150,27,0.292,0.6,0.108,68.79928,135.16011,191.28653,278.88528,24.30422,27.624215651594568
74,153,23,0.296,0.612,0.092,73.191864,143.94797,201.38666,298.8789,22.37627,27.488136543834116
76,149,25,0.304,0.596,0.1,77.547325,151.75443,211.84792,313.88528,20.949986,27.453050757641904
70,155,25,0.28,0.62,0.1,79.27738,157.17834,220.67924,323.88318,23.949986,27.228664969734382
61,160,29,0.244,0.64,0.116,77.842064,160.51091,230.14722,329.50006,23.619478,27.30479745118646
58,161,31,0.232,0.644,0.124,79.82293,166.30072,238.63136,333.61835,23.770725,27.089361475547776
58,154,38,0.232,0.616,0.152,82.0997,170.02827,247.32768,340.41058,23.709763,27.601144047803245
