Low,Mid,High,LowAverage,MidAverage,HighAverage,MaxWealth,MinWealth
0.53,0.42,0.05,14.056603,42.166668,83.2,94.0,0.0
0.7,0.29,0.01,25.071428,68.793106,99.0,143.0,1.0
0.59,0.34,0.07,22.440678,72.02941,117.30769,142.0,0.0
0.58,0.33,0.09,22.224138,77.93939,132.72728,155.0,0.0
0.59,0.32,0.09,29.762712,91.75,138.29033,196.0,1.0
0.56,0.31,0.13,28.142857,92.32258,150.59091,195.0,0.0
0.55,0.26,0.19,27.690908,88.61539,150.71428,190.0,0.0
0.63,0.28,0.09,30.730158,115.42857,161.80556,235.0,0.0
0.63,0.29,0.08,28.666666,117.793106,168.1125,232.0,1.0
0.69,0.23,0.08,35.608696,130.17392,181.09091,280.0,0.5
0.7,0.2,0.1,38.271427,134.45,189.62245,282.0,1.0
0.71,0.22,0.07,41.971832,148.54546,204.19048,334.0,1.0
0.71,0.22,0.07,47.985916,152.43182,204.54018,336.0,1.0
0.62,0.3,0.08,51.024193,150.11667,215.0,338.0,1.0
0.66,0.27,0.07,59.674244,157.66667,227.01968,364.0,1.0
0.72,0.23,0.05,70.145836,189.28261,241.74622,416.0,0.0
0.7,0.25,0.05,73.042854,190.84,253.06204,418.0,1.0
0.67,0.29,0.04,74.26119,198.84483,266.07092,431.0,1.0
0.7,0.27,0.03,78.1,217.01852,276.21875,483.0,9.0
0.7,0.27,0.03,80.02143,224.7963,277.92856,490.0,8.0
0.68,0.27,0.05,82.77206,225.0,289.83224,497.0,4.0
0.65,0.3,0.05,85.23077,229.5,306.79938,504.0,0.0
0.65,0.3,0.05,85.49231,240.03334,315.10803,511.0,4.0
0.65,0.3,0.05,90.99231,249.03334,330.30838,568.0,1.0
0.64,0.3,0.06,93.24219,255.0,341.57513,575.0,0.0
0.65,0.29,0.06,97.46923,258.68967,351.43484,582.0,8.0
0.61,0.32,0.07,85.59836,248.45312,296.09946,528.0,13.0
0.61,0.32,0.07,86.2623,255.40625,307.10623,530.0,13.0
0.6,0.33,0.07,88.42222,258.1414,319.29837,532.0,13.0
0.6,0.33,0.07,94.52917,267.86865,332.84744,544.0,20.0
